[Thu Feb 17 16:06:35.491796 2022] [proxy_fcgi:error] [pid 14596:tid 1268] (70007)The timeout specified has expired: [client 127.0.0.1:51943] AH01075: Error dispatching request to :10005: (polling), referer: http://tatianasite.local/wp-admin/plugin-install.php?s=woo&tab=search&type=term
[Sat Feb 19 00:16:46.622992 2022] [access_compat:error] [pid 15728:tid 1332] [client ::1:49986] AH01797: client denied by server configuration: C:/Users/Nazmie/Local Sites/tatianasite/app/public/wp-content/uploads/woocommerce_uploads/, referer: http://localhost:10005/wp-content/uploads/woocommerce_uploads/
[Sat Feb 19 18:33:50.910626 2022] [proxy_fcgi:error] [pid 7680:tid 1212] [client 127.0.0.1:61952] AH01067: Failed to read FastCGI header, referer: http://tatianasite.local/wp-admin/post.php?post=23&action=edit
[Sat Feb 19 18:33:50.910626 2022] [proxy_fcgi:error] [pid 7680:tid 1276] [client 127.0.0.1:61955] AH01067: Failed to read FastCGI header, referer: http://tatianasite.local/wp-admin/post.php?post=23&action=edit
[Sat Feb 19 18:33:50.910626 2022] [proxy_fcgi:error] [pid 7680:tid 1276] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:61955] AH01075: Error dispatching request to :10005: , referer: http://tatianasite.local/wp-admin/post.php?post=23&action=edit
[Sat Feb 19 18:33:50.910626 2022] [proxy_fcgi:error] [pid 7680:tid 1212] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:61952] AH01075: Error dispatching request to :10005: , referer: http://tatianasite.local/wp-admin/post.php?post=23&action=edit
[Sun Feb 20 09:03:07.415994 2022] [proxy_fcgi:error] [pid 5884:tid 1224] [client 127.0.0.1:56641] AH01067: Failed to read FastCGI header, referer: http://tatiana.site.local/wp-admin/post.php?post=41&action=edit
[Sun Feb 20 09:03:07.415994 2022] [proxy_fcgi:error] [pid 5884:tid 1224] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:56641] AH01075: Error dispatching request to :10005: , referer: http://tatiana.site.local/wp-admin/post.php?post=41&action=edit
[Thu Apr 07 16:33:29.433024 2022] [proxy_fcgi:error] [pid 11108:tid 1320] (70007)The timeout specified has expired: [client 127.0.0.1:50726] AH01075: Error dispatching request to :10005: (polling), referer: http://tatiana.site.local/wp-cron.php?doing_wp_cron=1649341949.3093130588531494140625
[Thu Apr 07 16:33:38.766423 2022] [proxy_fcgi:error] [pid 11108:tid 1328] (70007)The timeout specified has expired: [client 127.0.0.1:50738] AH01075: Error dispatching request to :10005: (polling), referer: http://tatiana.site.local/wp-admin/admin-ajax.php?action=wp_1_wc_privacy_cleanup&nonce=27515b27a6
[Thu Apr 07 16:33:40.309898 2022] [proxy_fcgi:error] [pid 11108:tid 1336] (70007)The timeout specified has expired: [client 127.0.0.1:50748] AH01075: Error dispatching request to :10005: (polling), referer: https://tatiana.site.local/
[Thu Apr 07 16:34:31.360541 2022] [proxy_fcgi:error] [pid 11108:tid 1320] (70007)The timeout specified has expired: [client 127.0.0.1:52328] AH01075: Error dispatching request to :10005: (polling), referer: http://tatiana.site.local/wp-admin/upgrade.php?step=upgrade_db
[Thu Apr 07 16:34:50.795311 2022] [access_compat:error] [pid 11108:tid 1336] [client 127.0.0.1:55905] AH01797: client denied by server configuration: C:/Users/Nazmie/Local Sites/tatianasite/app/public/wp-content/uploads/woocommerce_uploads/, referer: http://tatiana.site.local/wp-content/uploads/woocommerce_uploads/
